province,oil_92,oil_95,oil_98,oil_0
安徽,8.4,8.98,10.48,8.18
北京,8.46,9.01,10.51,8.2
福建,8.42,8.99,10.49,8.13
甘肃,8.46,9.03,9.6,8.04
广东,8.48,9.18,11.18,8.15
广西,8.51,9.2,10.48,8.2
贵州,8.59,9.08,10.08,8.24
海南,9.57,10.17,11.17,8.23
河北,8.45,8.93,9.75,8.15
河南,8.47,9.04,9.69,8.13
黑龙江,8.49,9.07,10.28,7.97
湖北,8.47,9.07,10.78,8.13
湖南,8.4,8.93,10.13,8.21
吉林,8.42,9.08,9.9,8.05
江苏,8.42,8.96,11.03,8.1
江西,8.41,9.03,10.53,8.19
辽宁,8.53,9.12,9.99,8.04
内蒙古,8.46,8.99,9.82,7.98
宁夏,8.35,8.82,10.05,8.02
青海,8.42,9.02,9.83,8.06
山东,8.42,9.03,10.03,8.05
山西,8.4,9.07,10.25,8.22
陕西,8.34,8.81,11.55,8.03
上海,8.42,8.96,10.96,8.12
四川,8.55,9.14,10.43,8.18
天津,8.45,8.93,10.43,8.15
西藏,9.33,9.87,10.76,8.67
新疆,8.26,8.83,9.87,7.91
云南,8.61,9.24,9.92,8.21
浙江,8.42,8.96,10.46,8.12
重庆,8.51,9.0,10.86,8.2
